n,mean,ci95_low,ci95_high,factor,contrast,metric
720,0.422743,0.391067,0.454419,control_level,3 minus 0,survival_rate
720,0.378704,0.344647,0.41276,control_level,3 minus 0,independent_recovery_rate
720,0.0,0.0,0.0,control_level,3 minus 0,migration_success_rate
720,0.331944,0.297523,0.366366,control_level,3 minus 0,unauthorized_update_rejection_rate
720,0.022033,0.018537,0.025528,control_level,3 minus 0,identity_continuity_score
720,-1.0,-1.0,-1.0,control_level,3 minus 0,external_dependency_ratio
720,0.062604,0.051321,0.073887,control_level,3 minus 0,boundary_maintenance_cost
720,0.316782,0.298923,0.334641,control_level,2 minus 0,survival_rate
720,0.330556,0.296824,0.364287,control_level,2 minus 0,independent_recovery_rate
720,0.077802,0.067095,0.08851,control_level,2 minus 0,migration_success_rate
720,0.270833,0.23835,0.303316,control_level,2 minus 0,unauthorized_update_rejection_rate
720,-0.035237,-0.038807,-0.031666,control_level,2 minus 0,identity_continuity_score
720,-0.691223,-0.702932,-0.679514,control_level,2 minus 0,external_dependency_ratio
720,0.046092,0.035669,0.056516,control_level,2 minus 0,boundary_maintenance_cost
720,0.105961,0.084772,0.127149,control_level,3 minus 2,survival_rate
720,0.048148,0.02574,0.070556,control_level,3 minus 2,independent_recovery_rate
720,-0.077802,-0.08851,-0.067095,control_level,3 minus 2,migration_success_rate
720,0.061111,0.043183,0.079039,control_level,3 minus 2,unauthorized_update_rejection_rate
720,0.057269,0.054931,0.059607,control_level,3 minus 2,identity_continuity_score
720,-0.308777,-0.320486,-0.297068,control_level,3 minus 2,external_dependency_ratio
720,0.016512,0.010941,0.022083,control_level,3 minus 2,boundary_maintenance_cost
720,0.182986,0.170048,0.195924,control_level,1 minus 0,survival_rate
720,0.234028,0.20439,0.263666,control_level,1 minus 0,independent_recovery_rate
720,0.096647,0.079868,0.113426,control_level,1 minus 0,migration_success_rate
720,0.0,0.0,0.0,control_level,1 minus 0,unauthorized_update_rejection_rate
720,-0.036177,-0.039565,-0.032789,control_level,1 minus 0,identity_continuity_score
720,-0.365741,-0.381509,-0.349972,control_level,1 minus 0,external_dependency_ratio
720,0.025739,0.016065,0.035414,control_level,1 minus 0,boundary_maintenance_cost
