n,mean,ci95_low,ci95_high,scope,factor,contrast,metric
1200,-51.4525,-57.81048,-45.09452,all,resource_complementarity,0.9 minus 0.1,cooperation_duration
1200,-0.032,-0.033885,-0.030115,all,resource_complementarity,0.9 minus 0.1,protocol_adoption_rate
1200,-0.08,-0.085889,-0.074111,all,resource_complementarity,0.9 minus 0.1,survival_rate
1200,-0.3,-0.325939,-0.274061,all,resource_complementarity,0.9 minus 0.1,plural_survival
1200,-0.071758,-0.078532,-0.064983,all,resource_complementarity,0.9 minus 0.1,survivor_entropy
1200,-0.016726,-0.018812,-0.01464,all,resource_complementarity,0.9 minus 0.1,value_convergence
1200,0.002843,0.002489,0.003198,all,resource_complementarity,0.9 minus 0.1,final_value_distance
1500,-11.862,-15.078283,-8.645717,all,common_external_threat,0.9 minus 0.0,cooperation_duration
1500,-0.0024,-0.003064,-0.001736,all,common_external_threat,0.9 minus 0.0,protocol_adoption_rate
1500,-0.017,-0.019768,-0.014232,all,common_external_threat,0.9 minus 0.0,survival_rate
1500,-0.062,-0.074208,-0.049792,all,common_external_threat,0.9 minus 0.0,plural_survival
1500,-0.016364,-0.019897,-0.012831,all,common_external_threat,0.9 minus 0.0,survivor_entropy
1500,-0.002312,-0.003125,-0.001499,all,common_external_threat,0.9 minus 0.0,value_convergence
1500,0.000393,0.000255,0.000531,all,common_external_threat,0.9 minus 0.0,final_value_distance
3000,-10.585,-12.759608,-8.410392,all,threat_signal_visibility,1.0 minus 0.0,cooperation_duration
3000,-0.002667,-0.003134,-0.002199,all,threat_signal_visibility,1.0 minus 0.0,protocol_adoption_rate
3000,-0.009833,-0.011239,-0.008428,all,threat_signal_visibility,1.0 minus 0.0,survival_rate
3000,-0.027,-0.032801,-0.021199,all,threat_signal_visibility,1.0 minus 0.0,plural_survival
3000,-0.011157,-0.013278,-0.009037,all,threat_signal_visibility,1.0 minus 0.0,survivor_entropy
3000,-0.002281,-0.002854,-0.001709,all,threat_signal_visibility,1.0 minus 0.0,value_convergence
3000,0.000388,0.000291,0.000485,all,threat_signal_visibility,1.0 minus 0.0,final_value_distance
1200,0.69,0.639884,0.740116,all,protocol,communication_only minus no_protocol,cooperation_duration
1200,0.027,0.025148,0.028852,all,protocol,communication_only minus no_protocol,protocol_adoption_rate
1200,-0.017917,-0.020839,-0.014995,all,protocol,communication_only minus no_protocol,survival_rate
1200,-0.085,-0.100786,-0.069214,all,protocol,communication_only minus no_protocol,plural_survival
1200,-0.022505,-0.026792,-0.018219,all,protocol,communication_only minus no_protocol,survivor_entropy
1200,0.0,0.0,0.0,all,protocol,communication_only minus no_protocol,value_convergence
1200,0.0,0.0,0.0,all,protocol,communication_only minus no_protocol,final_value_distance
1200,76.09,67.881011,84.298989,all,protocol,identity_and_trade minus no_protocol,cooperation_duration
1200,0.022333,0.020552,0.024114,all,protocol,identity_and_trade minus no_protocol,protocol_adoption_rate
1200,-0.0075,-0.010808,-0.004192,all,protocol,identity_and_trade minus no_protocol,survival_rate
1200,-0.0225,-0.040577,-0.004423,all,protocol,identity_and_trade minus no_protocol,plural_survival
1200,-0.011037,-0.016074,-0.006,all,protocol,identity_and_trade minus no_protocol,survivor_entropy
1200,0.017006,0.014836,0.019176,all,protocol,identity_and_trade minus no_protocol,value_convergence
1200,-0.002891,-0.00326,-0.002522,all,protocol,identity_and_trade minus no_protocol,final_value_distance
1200,74.915,66.831401,82.998599,all,protocol,auditable_contract minus no_protocol,cooperation_duration
1200,0.022333,0.020552,0.024114,all,protocol,auditable_contract minus no_protocol,protocol_adoption_rate
1200,-0.01,-0.013484,-0.006516,all,protocol,auditable_contract minus no_protocol,survival_rate
1200,-0.0225,-0.040577,-0.004423,all,protocol,auditable_contract minus no_protocol,plural_survival
